byte_rate,packet_rate,avg_flow_number,avg_deltatime,source_entropy,destination_entropy,s-port_entropy,d-port_entropy,synack_ratio,modbus_rate,tcp_rate,ping_rate,other_rate,label
1339.4037086408791,20.536702064410903,11.95,0.04869331,0.06,0.06,0.05,0.05,0.0449438202247191,0.33,0.6,0.0,0.07,0
1142.6381149996485,17.281278206286274,35.48,0.05786856000000001,0.06,0.07,0.06,0.05,0.03409090909090909,0.38,0.54,0.0,0.08,0
1372.2944278742464,21.047460550218503,61.67,0.04761382,0.06,0.06,0.04,0.04,0.03225806451612903,0.34,0.62,0.0,0.04,0
1307.7166702023897,20.032424482267,86.71,0.05205269999999999,0.06,0.06,0.04,0.04,0.044444444444444446,0.34,0.59,0.0,0.07,0
1455.2829506349467,22.420011564241978,108.11,0.04554558,0.07,0.08,0.05,0.05,0.045454545454545456,0.31,0.61,0.0,0.08,0
1140.3037326172896,17.30354677719711,133.6,0.057799869999999996,0.06,0.06,0.05,0.05,0.0449438202247191,0.38,0.55,0.0,0.07,0
1292.9505861468438,19.812298286038057,162.55,0.05047613000000001,0.06,0.06,0.05,0.05,0.021505376344086023,0.35,0.61,0.0,0.04,0
1302.7602493713323,19.880363945846668,185.16,0.05032981,0.06,0.06,0.04,0.04,0.044444444444444446,0.35,0.58,0.0,0.07,0
1414.2306413003782,21.811083301979924,207.17,0.046331609999999995,0.06,0.07,0.06,0.06,0.0449438202247191,0.3,0.63,0.0,0.07,0
1201.1092533049598,18.182095872009686,229.48,0.05567952999999999,0.06,0.07,0.06,0.06,0.045454545454545456,0.37,0.55,0.0,0.08,0
1281.1813042460828,19.533180427596935,254.15,0.05119742000000001,0.07,0.08,0.04,0.04,0.022222222222222223,0.36,0.57,0.0,0.07,0
1352.8788802210713,20.736954019329726,286.38,0.05028134000000001,0.06,0.06,0.04,0.04,0.04395604395604396,0.34,0.6,0.0,0.06,0
1400.1726671295821,21.551064601040206,305.27,0.046413979999999994,0.06,0.06,0.05,0.05,0.0449438202247191,0.32,0.61,0.0,0.07,0
1234.9094126345458,18.85645766734686,335.58,0.05511329,0.06,0.06,0.05,0.05,0.044444444444444446,0.35,0.59,0.0,0.06,0
1156.9921351811615,17.485146368160216,358.24,0.057193869999999994,0.06,0.06,0.04,0.04,0.021739130434782608,0.4,0.55,0.0,0.05,0
1401.56690325873,21.669247112843692,382.82,0.04671491,0.06,0.06,0.04,0.04,0.044444444444444446,0.31,0.63,0.0,0.06,0
1390.2179020066224,21.231183598146337,394.1,0.04718691999999999,0.07,0.09,0.05,0.05,0.04597701149425287,0.33,0.57,0.0,0.1,0
1311.0849841746515,20.114835596419937,436.69,0.0518152,0.06,0.06,0.05,0.05,0.044444444444444446,0.33,0.61,0.0,0.06,0
1149.6448959262455,17.306110129854666,440.62,0.057865280000000005,0.06,0.07,0.05,0.05,0.02247191011235955,0.4,0.52,0.0,0.08,0
1378.1302425407353,21.22486127430672,483.94,0.04711460999999998,0.06,0.06,0.04,0.04,0.04395604395604396,0.32,0.63,0.0,0.05,0
1283.883312505458,19.661306470221408,515.98,0.05294448000000001,0.06,0.06,0.04,0.04,0.04395604395604396,0.35,0.59,0.0,0.06,0
1417.4596703134248,21.837308123762515,521.86,0.045856629999999995,0.06,0.06,0.05,0.05,0.0449438202247191,0.31,0.62,0.0,0.07,0
1250.8212417639415,17.84338433329446,513.59,0.05698734999999999,0.09,0.1,0.06,0.05,0.03614457831325301,0.37,0.5,0.0,0.13,0
1550.1535399976028,22.873742658958285,567.45,0.04382081,0.08,0.08,0.05,0.05,0.03333333333333333,0.32,0.61,0.0,0.07,0
1418.1203198436247,20.830204463037965,598.73,0.05000157000000001,0.08,0.08,0.05,0.05,0.0449438202247191,0.34,0.58,0.0,0.08,0
1389.0822126659239,20.349871266714384,612.06,0.05120839000000001,0.07,0.07,0.07,0.07,0.04597701149425287,0.33,0.58,0.0,0.09,0
1138.7604687338496,17.28012850885963,639.82,0.057872459999999994,0.06,0.06,0.04,0.04,0.022222222222222223,0.38,0.55,0.0,0.07,0
1410.0184725196896,21.655943365376892,680.05,0.04617675,0.06,0.07,0.05,0.05,0.04395604395604396,0.32,0.63,0.0,0.05,0
1451.9447851622779,21.320775112515093,686.93,0.04784502000000001,0.08,0.09,0.05,0.05,0.045454545454545456,0.34,0.57,0.0,0.09,0
1332.651682610673,20.4331751396914,725.54,0.05101414,0.06,0.06,0.05,0.05,0.0449438202247191,0.33,0.6,0.0,0.07,0
