"Time","Source","Destination","Protocol","Length","D-Port","S-Port","ACK","SYN","Delta-Time"
"0.000000","172.27.224.70","172.27.224.250","TCP","60","502","49499","Set","Not set","0.000000"
"0.020940","HewlettPacka_8e:40:b3","Spanning-tree-(for-bridges)_00","STP","64","","","","","0.020940"
"0.094309","172.27.224.70","172.27.224.250","Modbus/TCP","66","502","49499","Set","Not set","0.073369"
"0.097427","172.27.224.250","172.27.224.70","Modbus/TCP","85","49499","502","Set","Not set","0.003118"
"0.311972","172.27.224.70","172.27.224.250","TCP","60","502","49499","Set","Not set","0.214545"
"0.406287","172.27.224.70","172.27.224.250","Modbus/TCP","66","502","49499","Set","Not set","0.094315"
"0.418085","172.27.224.250","172.27.224.70","Modbus/TCP","85","49499","502","Set","Not set","0.011798"
"0.505822","172.27.224.251","172.27.224.250","TCP","60","502","52515","Set","Not set","0.087737"
"0.516082","172.27.224.250","172.27.224.251","TCP","60","52515","502","Set","Not set","0.010260"
"0.516916","172.27.224.250","172.27.224.251","TCP","60","52515","502","Set","Not set","0.000834"
"0.516918","172.27.224.251","172.27.224.250","TCP","60","502","52515","Set","Not set","0.000002"
"0.517094","172.27.224.250","172.27.224.251","TCP","60","52515","502","Set","Not set","0.000176"
"0.526098","172.27.224.250","172.27.224.251","TCP","60","52515","502","Not set","Not set","0.009004"
"0.623965","172.27.224.70","172.27.224.250","TCP","60","502","49499","Set","Not set","0.097867"
"0.718290","172.27.224.70","172.27.224.250","Modbus/TCP","66","502","49499","Set","Not set","0.094325"
"0.728054","172.27.224.250","172.27.224.70","Modbus/TCP","85","49499","502","Set","Not set","0.009764"
"0.935974","172.27.224.70","172.27.224.250","TCP","60","502","49499","Set","Not set","0.207920"
"1.030143","172.27.224.70","172.27.224.250","Modbus/TCP","66","502","49499","Set","Not set","0.094169"
"1.037346","172.27.224.250","172.27.224.70","Modbus/TCP","85","49499","502","Set","Not set","0.007203"
"1.247963","172.27.224.70","172.27.224.250","TCP","60","502","49499","Set","Not set","0.210617"
"1.342213","172.27.224.70","172.27.224.250","Modbus/TCP","66","502","49499","Set","Not set","0.094250"
"1.348052","172.27.224.250","172.27.224.70","Modbus/TCP","85","49499","502","Set","Not set","0.005839"
"1.559979","172.27.224.70","172.27.224.250","TCP","60","502","49499","Set","Not set","0.211927"
"1.654196","172.27.224.70","172.27.224.250","Modbus/TCP","66","502","49499","Set","Not set","0.094217"
"1.657359","172.27.224.250","172.27.224.70","Modbus/TCP","85","49499","502","Set","Not set","0.003163"
"1.871951","172.27.224.70","172.27.224.250","TCP","60","502","49499","Set","Not set","0.214592"
"1.953595","ASUSTekCOMPU_64:40:79","Broadcast","ARP","60","","","","","0.081644"
"1.956019","Telemecaniqu_09:51:3b","ASUSTekCOMPU_64:40:79","ARP","64","","","","","0.002424"
"1.956025","172.27.224.251","172.27.224.250","TCP","60","502","52516","Not set","Set","0.000006"
"1.966192","172.27.224.70","172.27.224.250","Modbus/TCP","66","502","49499","Set","Not set","0.010167"
"1.966258","172.27.224.250","172.27.224.251","TCP","60","52516","502","Set","Set","0.000066"
